Customer_Name,Days_Since_Last_Order,Total_Orders,Total_Lifetime_Value,Recency_Score,Frequency_Score,Monetary_Score,RFM_Score,CRM_Segment,CRM_Priority
Kiaan Bhatt,103,1,159022.4,3,1,1,3-1-1,Promising,4 — Nurture
Charvi Mallick,189,1,158716.0,3,1,1,3-1-1,Promising,4 — Nurture
Dhruv Kulkarni,126,1,158652.0,3,1,1,3-1-1,Promising,4 — Nurture
Anika Sen,133,1,158610.0,3,1,1,3-1-1,Promising,4 — Nurture
Faiyaz Dara,233,1,158600.0,3,1,1,3-1-1,Promising,4 — Nurture
Vaibhav Borra,42,1,158521.75,3,1,1,3-1-1,Promising,4 — Nurture
Anaya Bhasin,207,1,158449.5,3,1,1,3-1-1,Promising,4 — Nurture
Chirag Karan,102,1,158137.2,3,1,1,3-1-1,Promising,4 — Nurture
Trisha Rau,65,1,157072.35,3,1,1,3-1-1,Promising,4 — Nurture
Hunar Tak,38,1,156926.7,3,1,1,3-1-1,Promising,4 — Nurture
Aaryahi Babu,7,1,156810.8,3,1,1,3-1-1,Promising,4 — Nurture
Sara Gola,233,1,156422.4,3,1,1,3-1-1,Promising,4 — Nurture
Lakshit Shah,11,1,155608.65,3,1,1,3-1-1,Promising,4 — Nurture
Riaan Lad,82,1,155250.0,3,1,1,3-1-1,Promising,4 — Nurture
Amani Apte,135,1,154908.8,3,1,1,3-1-1,Promising,4 — Nurture
Samar Dhawan,165,1,154824.0,3,1,1,3-1-1,Promising,4 — Nurture
Elakshi Lanka,124,1,154669.5,3,1,1,3-1-1,Promising,4 — Nurture
Farhan Golla,43,1,154626.9,3,1,1,3-1-1,Promising,4 — Nurture
Saanvi Chaudhari,217,1,154275.0,3,1,1,3-1-1,Promising,4 — Nurture
Mohanlal Dubey,143,1,154237.5,3,1,1,3-1-1,Promising,4 — Nurture
Navya Balakrishnan,85,1,153926.6,3,1,1,3-1-1,Promising,4 — Nurture
Yuvaan Jain,84,1,153707.2,3,1,1,3-1-1,Promising,4 — Nurture
Zara Singh,226,1,152740.0,3,1,1,3-1-1,Promising,4 — Nurture
Mannat Dhaliwal,107,1,152569.6,3,1,1,3-1-1,Promising,4 — Nurture
Nirvaan Ramanathan,135,1,152484.5,3,1,1,3-1-1,Promising,4 — Nurture
Seher Dugal,223,1,152036.1,3,1,1,3-1-1,Promising,4 — Nurture
Samarth Khare,168,1,151915.0,3,1,1,3-1-1,Promising,4 — Nurture
Ishita Manda,38,1,151865.1,3,1,1,3-1-1,Promising,4 — Nurture
Kimaya Kakar,136,1,151861.5,3,1,1,3-1-1,Promising,4 — Nurture
Vaibhav Keer,86,1,151860.0,3,1,1,3-1-1,Promising,4 — Nurture
Sana Sampath,135,1,151600.0,3,1,1,3-1-1,Promising,4 — Nurture
Armaan Sibal,206,1,151048.8,3,1,1,3-1-1,Promising,4 — Nurture
Advik Sule,2,1,150776.1,3,1,1,3-1-1,Promising,4 — Nurture
Rhea Dugar,237,1,150675.0,3,1,1,3-1-1,Promising,4 — Nurture
Miraya Srivastava,93,1,149975.55,3,1,1,3-1-1,Promising,4 — Nurture
Tarini Shukla,164,1,149838.75,3,1,1,3-1-1,Promising,4 — Nurture
Ryan Yohannan,18,1,149702.4,3,1,1,3-1-1,Promising,4 — Nurture
Darshit Bhardwaj,123,1,149645.0,3,1,1,3-1-1,Promising,4 — Nurture
Yasmin Date,218,1,149499.0,3,1,1,3-1-1,Promising,4 — Nurture
Tanya Amble,94,1,149012.0,3,1,1,3-1-1,Promising,4 — Nurture
Mamooty Maharaj,69,1,148918.5,3,1,1,3-1-1,Promising,4 — Nurture
Aarush Wadhwa,41,1,148428.0,3,1,1,3-1-1,Promising,4 — Nurture
Heer Lal,185,1,148165.8,3,1,1,3-1-1,Promising,4 — Nurture
Himmat Jhaveri,36,1,147985.2,3,1,1,3-1-1,Promising,4 — Nurture
Rohan Vaidya,10,1,147840.0,3,1,1,3-1-1,Promising,4 — Nurture
Uthkarsh Jani,133,1,147658.5,3,1,1,3-1-1,Promising,4 — Nurture
Aarav Bail,37,1,147601.65,3,1,1,3-1-1,Promising,4 — Nurture
Keya Kunda,57,1,147564.8,3,1,1,3-1-1,Promising,4 — Nurture
Taimur Talwar,94,1,147385.0,3,1,1,3-1-1,Promising,4 — Nurture
Mehul Bose,50,1,147336.45,3,1,1,3-1-1,Promising,4 — Nurture
Vedika Biswas,120,1,147168.3,3,1,1,3-1-1,Promising,4 — Nurture
Lakshay Dasgupta,35,1,147048.0,3,1,1,3-1-1,Promising,4 — Nurture
Ranbir Chaudhary,168,1,146142.0,3,1,1,3-1-1,Promising,4 — Nurture
Lavanya Varma,73,1,145764.0,3,1,1,3-1-1,Promising,4 — Nurture
Shray Sinha,166,1,145726.2,3,1,1,3-1-1,Promising,4 — Nurture
Parinaaz Dayal,118,1,145482.0,3,1,1,3-1-1,Promising,4 — Nurture
Anya Lala,228,1,145407.0,3,1,1,3-1-1,Promising,4 — Nurture
Ira Bera,175,1,145096.0,3,1,1,3-1-1,Promising,4 — Nurture
Vedika Grewal,180,1,144976.0,3,1,1,3-1-1,Promising,4 — Nurture
Hrishita Jha,224,1,144540.0,3,1,1,3-1-1,Promising,4 — Nurture
Kiaan Din,94,1,144348.0,3,1,1,3-1-1,Promising,4 — Nurture
Arhaan Garg,239,1,144200.0,3,1,1,3-1-1,Promising,4 — Nurture
Bhavin Bhatia,63,1,144010.4,3,1,1,3-1-1,Promising,4 — Nurture
Veer Luthra,209,1,143985.75,3,1,1,3-1-1,Promising,4 — Nurture
Tushar Goel,71,1,142989.0,3,1,1,3-1-1,Promising,4 — Nurture
Aradhya Jayaraman,82,1,142240.0,3,1,1,3-1-1,Promising,4 — Nurture
Darshit Sarna,192,1,142230.4,3,1,1,3-1-1,Promising,4 — Nurture
Kashvi Bera,31,1,141186.0,3,1,1,3-1-1,Promising,4 — Nurture
Reyansh Shenoy,39,1,141149.1,3,1,1,3-1-1,Promising,4 — Nurture
Yuvaan Vig,121,1,141048.4,3,1,1,3-1-1,Promising,4 — Nurture
Nishith Vala,152,1,140896.8,3,1,1,3-1-1,Promising,4 — Nurture
Bhavin Suresh,151,1,140873.6,3,1,1,3-1-1,Promising,4 — Nurture
Saira Banik,60,1,140623.2,3,1,1,3-1-1,Promising,4 — Nurture
Manikya Ravel,118,1,140425.2,3,1,1,3-1-1,Promising,4 — Nurture
Mannat Sandal,175,1,140291.2,3,1,1,3-1-1,Promising,4 — Nurture
Myra Anand,144,1,140262.0,3,1,1,3-1-1,Promising,4 — Nurture
Dhanuk Atwal,183,1,139930.0,3,1,1,3-1-1,Promising,4 — Nurture
Ritvik Shah,166,1,139745.0,3,1,1,3-1-1,Promising,4 — Nurture
Raunak Tara,67,1,139334.4,3,1,1,3-1-1,Promising,4 — Nurture
Lakshit Kar,184,1,138662.4,3,1,1,3-1-1,Promising,4 — Nurture
Kanav Gaba,140,1,138358.8,3,1,1,3-1-1,Promising,4 — Nurture
Jivika Dey,242,1,137878.0,3,1,1,3-1-1,Promising,4 — Nurture
Azad Roy,233,1,137754.0,3,1,1,3-1-1,Promising,4 — Nurture
Ritvik Grewal,123,1,137672.1,3,1,1,3-1-1,Promising,4 — Nurture
Shray Raja,171,1,137193.3,3,1,1,3-1-1,Promising,4 — Nurture
Badal Tank,193,1,136937.75,3,1,1,3-1-1,Promising,4 — Nurture
Hunar Wason,131,1,136738.25,3,1,1,3-1-1,Promising,4 — Nurture
Hansh Krish,82,1,136432.0,3,1,1,3-1-1,Promising,4 — Nurture
Yuvraj  Chad,79,1,136138.8,3,1,1,3-1-1,Promising,4 — Nurture
Nitara Deshpande,213,1,135716.0,3,1,1,3-1-1,Promising,4 — Nurture
Aarav Kadakia,164,1,135675.0,3,1,1,3-1-1,Promising,4 — Nurture
Saksham Chandra,175,1,134728.0,3,1,1,3-1-1,Promising,4 — Nurture
Shanaya Shan,137,1,134650.8,3,1,1,3-1-1,Promising,4 — Nurture
Tejas Kulkarni,131,1,134361.6,3,1,1,3-1-1,Promising,4 — Nurture
Saanvi Raj,33,1,134250.0,3,1,1,3-1-1,Promising,4 — Nurture
Jayant Sem,179,1,134099.2,3,1,1,3-1-1,Promising,4 — Nurture
Neysa Sheth,74,1,134073.0,3,1,1,3-1-1,Promising,4 — Nurture
Divit Kumar,45,1,133992.75,3,1,1,3-1-1,Promising,4 — Nurture
Lakshay Balay,217,1,133929.0,3,1,1,3-1-1,Promising,4 — Nurture
Advik Borde,164,1,133852.5,3,1,1,3-1-1,Promising,4 — Nurture
Vanya Shan,127,1,133846.2,3,1,1,3-1-1,Promising,4 — Nurture
Drishya Shroff,99,1,133799.4,3,1,1,3-1-1,Promising,4 — Nurture
Miraya Sengupta,192,1,133395.0,3,1,1,3-1-1,Promising,4 — Nurture
Bhavin Dhawan,233,1,132952.0,3,1,1,3-1-1,Promising,4 — Nurture
Ahana  Tak,235,1,132604.25,3,1,1,3-1-1,Promising,4 — Nurture
Raghav Viswanathan,190,1,132574.5,3,1,1,3-1-1,Promising,4 — Nurture
Parinaaz Dalal,54,1,132416.4,3,1,1,3-1-1,Promising,4 — Nurture
Advik Choudhary,144,1,132372.0,3,1,1,3-1-1,Promising,4 — Nurture
Yakshit Din,126,1,131814.0,3,1,1,3-1-1,Promising,4 — Nurture
Hridaan Karnik,29,1,131653.1,3,1,1,3-1-1,Promising,4 — Nurture
Rania Chakraborty,82,1,131424.0,3,1,1,3-1-1,Promising,4 — Nurture
Jhanvi Boase,85,1,131278.6,3,1,1,3-1-1,Promising,4 — Nurture
Divyansh Sarna,225,1,130324.0,3,1,1,3-1-1,Promising,4 — Nurture
Gokul Kaur,146,1,130077.2,3,1,1,3-1-1,Promising,4 — Nurture
Khushi Saha,229,1,130070.4,3,1,1,3-1-1,Promising,4 — Nurture
Pihu Srinivasan,78,1,129863.85,3,1,1,3-1-1,Promising,4 — Nurture
Tara Ratti,161,1,129746.0,3,1,1,3-1-1,Promising,4 — Nurture
Hridaan Bera,9,1,129731.2,3,1,1,3-1-1,Promising,4 — Nurture
Hiran Kapur,98,1,129708.8,3,1,1,3-1-1,Promising,4 — Nurture
Dhanush Tandon,228,1,129704.0,3,1,1,3-1-1,Promising,4 — Nurture
Ira Bains,229,1,129648.6,3,1,1,3-1-1,Promising,4 — Nurture
Alia Khare,108,1,129494.7,3,1,1,3-1-1,Promising,4 — Nurture
Ehsaan Andra,47,1,129490.7,3,1,1,3-1-1,Promising,4 — Nurture
Ojas Chaudhary,185,1,129470.75,3,1,1,3-1-1,Promising,4 — Nurture
Himmat Srinivasan,67,1,129056.0,3,1,1,3-1-1,Promising,4 — Nurture
Seher Dugar,40,1,129052.1,3,1,1,3-1-1,Promising,4 — Nurture
Rati Sandal,215,1,129002.4,3,1,1,3-1-1,Promising,4 — Nurture
Hridaan Luthra,206,1,128968.2,3,1,1,3-1-1,Promising,4 — Nurture
Aarav Singhal,116,1,128934.0,3,1,1,3-1-1,Promising,4 — Nurture
Purab Krishna,128,1,128829.6,3,1,1,3-1-1,Promising,4 — Nurture
Seher Chacko,66,1,128771.6,3,1,1,3-1-1,Promising,4 — Nurture
Aarav Bala,148,1,128719.8,3,1,1,3-1-1,Promising,4 — Nurture
Vedika Kaur,135,1,128592.0,3,1,1,3-1-1,Promising,4 — Nurture
Lakshit Deo,42,1,128577.6,3,1,1,3-1-1,Promising,4 — Nurture
Jivika Baral,146,1,128504.7,3,1,1,3-1-1,Promising,4 — Nurture
Hrishita Sagar,74,1,128109.6,3,1,1,3-1-1,Promising,4 — Nurture
Trisha Majumdar,86,1,127963.8,3,1,1,3-1-1,Promising,4 — Nurture
Abram Chaudry,123,1,127862.4,3,1,1,3-1-1,Promising,4 — Nurture
Zara Chada,97,1,127712.0,3,1,1,3-1-1,Promising,4 — Nurture
Yashvi Ravi,138,1,127392.15,3,1,1,3-1-1,Promising,4 — Nurture
Mamooty Ghose,172,1,127184.0,3,1,1,3-1-1,Promising,4 — Nurture
Rasha Johal,129,1,127152.75,3,1,1,3-1-1,Promising,4 — Nurture
Kanav Taneja,164,1,127115.8,3,1,1,3-1-1,Promising,4 — Nurture
Rasha Thaman,32,1,127096.2,3,1,1,3-1-1,Promising,4 — Nurture
Seher Shroff,154,1,126948.6,3,1,1,3-1-1,Promising,4 — Nurture
Hrishita Luthra,112,1,126775.8,3,1,1,3-1-1,Promising,4 — Nurture
Madhup Keer,71,1,126726.4,3,1,1,3-1-1,Promising,4 — Nurture
Shlok Dutt,195,1,126495.0,3,1,1,3-1-1,Promising,4 — Nurture
Ritvik Verma,85,1,126315.0,3,1,1,3-1-1,Promising,4 — Nurture
Nehmat Dayal,11,1,125881.2,3,1,1,3-1-1,Promising,4 — Nurture
Samar Wason,133,1,125395.2,3,1,1,3-1-1,Promising,4 — Nurture
Dhanuk Kapur,4,1,125208.0,3,1,1,3-1-1,Promising,4 — Nurture
Yasmin Doctor,69,1,124936.0,3,1,1,3-1-1,Promising,4 — Nurture
Advik Subramaniam,106,1,124839.0,3,1,1,3-1-1,Promising,4 — Nurture
Mehul D’Alia,32,1,124657.6,3,1,1,3-1-1,Promising,4 — Nurture
Damini Goel,217,1,124492.5,3,1,1,3-1-1,Promising,4 — Nurture
Aarush Jani,88,1,124450.0,3,1,1,3-1-1,Promising,4 — Nurture
Darshit Tella,191,1,124326.9,3,1,1,3-1-1,Promising,4 — Nurture
Himmat Ahluwalia,127,1,124213.05,3,1,1,3-1-1,Promising,4 — Nurture
Jivin Bora,132,1,123892.6,3,1,1,3-1-1,Promising,4 — Nurture
Ela Bains,24,1,123868.6,3,1,1,3-1-1,Promising,4 — Nurture
Jivin Chandran,20,1,123559.2,3,1,1,3-1-1,Promising,4 — Nurture
Akarsh Sachdev,96,1,123444.0,3,1,1,3-1-1,Promising,4 — Nurture
Adah D’Alia,140,1,123054.0,3,1,1,3-1-1,Promising,4 — Nurture
Azad Ravel,6,1,122979.2,3,1,1,3-1-1,Promising,4 — Nurture
Chirag Johal,162,1,122958.0,3,1,1,3-1-1,Promising,4 — Nurture
Indranil Gokhale,83,1,122458.8,3,1,1,3-1-1,Promising,4 — Nurture
Alisha Mannan,192,1,122155.75,3,1,1,3-1-1,Promising,4 — Nurture
Shaan Bala,3,1,121814.0,3,1,1,3-1-1,Promising,4 — Nurture
Mohanlal Bath,142,1,120297.1,3,1,1,3-1-1,Promising,4 — Nurture
Farhan Yadav,21,1,120190.2,3,1,1,3-1-1,Promising,4 — Nurture
Rati Varty,113,1,120097.8,3,1,1,3-1-1,Promising,4 — Nurture
Riaan Dhar,142,1,119910.0,3,1,1,3-1-1,Promising,4 — Nurture
Neelofar Bhatt,182,1,119644.0,3,1,1,3-1-1,Promising,4 — Nurture
Zain Sarkar,207,1,119124.0,3,1,1,3-1-1,Promising,4 — Nurture
Sana Gole,243,1,118864.0,3,1,1,3-1-1,Promising,4 — Nurture
Divij Ray,43,1,118850.4,3,1,1,3-1-1,Promising,4 — Nurture
Siya Bhatt,40,1,118834.0,3,1,1,3-1-1,Promising,4 — Nurture
Raghav Sura,138,1,118465.6,3,1,1,3-1-1,Promising,4 — Nurture
Parinaaz Din,52,1,118069.8,3,1,1,3-1-1,Promising,4 — Nurture
Hiran Jani,240,1,117993.8,3,1,1,3-1-1,Promising,4 — Nurture
Lakshit Keer,71,1,117784.5,3,1,1,3-1-1,Promising,4 — Nurture
Elakshi Batra,58,1,117718.2,3,1,1,3-1-1,Promising,4 — Nurture
Krish Suri,147,1,116745.6,3,1,1,3-1-1,Promising,4 — Nurture
Rania Wali,102,1,116742.4,3,1,1,3-1-1,Promising,4 — Nurture
Jayant Sachar,209,1,116680.0,3,1,1,3-1-1,Promising,4 — Nurture
Miraan Banerjee,220,1,116650.5,3,1,1,3-1-1,Promising,4 — Nurture
Tushar Koshy,103,1,116614.4,3,1,1,3-1-1,Promising,4 — Nurture
Mamooty Luthra,66,1,116555.5,3,1,1,3-1-1,Promising,4 — Nurture
Raunak Gulati,56,1,116325.6,3,1,1,3-1-1,Promising,4 — Nurture
Myra Brar,32,1,116291.9,3,1,1,3-1-1,Promising,4 — Nurture
Pari Vohra,16,1,116016.5,3,1,1,3-1-1,Promising,4 — Nurture
Advika Grover,31,1,115909.2,3,1,1,3-1-1,Promising,4 — Nurture
Yuvaan Kulkarni,35,1,115878.8,3,1,1,3-1-1,Promising,4 — Nurture
Faiyaz Sandal,210,1,115812.6,3,1,1,3-1-1,Promising,4 — Nurture
Rohan Ramachandran,169,1,115785.0,3,1,1,3-1-1,Promising,4 — Nurture
Zara Acharya,95,1,115381.8,3,1,1,3-1-1,Promising,4 — Nurture
Keya Ratti,84,1,115369.2,3,1,1,3-1-1,Promising,4 — Nurture
Hunar Mani,85,1,115357.5,3,1,1,3-1-1,Promising,4 — Nurture
Gokul Ganguly,121,1,115034.4,3,1,1,3-1-1,Promising,4 — Nurture
Divit Borde,215,1,114904.0,3,1,1,3-1-1,Promising,4 — Nurture
Rati Buch,155,1,114546.25,3,1,1,3-1-1,Promising,4 — Nurture
Vaibhav Chand,80,1,114382.4,3,1,1,3-1-1,Promising,4 — Nurture
Mohanlal Chaudhry,238,1,114370.9,3,1,1,3-1-1,Promising,4 — Nurture
Kismat Sagar,172,1,114052.5,3,1,1,3-1-1,Promising,4 — Nurture
Jhanvi Iyer,96,1,113824.0,3,1,1,3-1-1,Promising,4 — Nurture
Baiju Sane,133,1,113050.0,3,1,1,3-1-1,Promising,4 — Nurture
Nayantara Savant,177,1,112822.0,3,1,1,3-1-1,Promising,4 — Nurture
Alia Sibal,134,1,112586.4,3,1,1,3-1-1,Promising,4 — Nurture
Mamooty Vora,142,1,112462.65,3,1,1,3-1-1,Promising,4 — Nurture
Saksham Rau,125,1,112340.0,3,1,1,3-1-1,Promising,4 — Nurture
Indrajit Wason,13,1,112295.7,3,1,1,3-1-1,Promising,4 — Nurture
Myra Goda,105,1,112212.0,3,1,1,3-1-1,Promising,4 — Nurture
Piya Krishnan,72,1,112134.4,3,1,1,3-1-1,Promising,4 — Nurture
Biju Sangha,112,1,112005.0,3,1,1,3-1-1,Promising,4 — Nurture
Divyansh Ratta,135,1,111888.0,3,1,1,3-1-1,Promising,4 — Nurture
Raunak Dalal,149,1,111711.0,3,1,1,3-1-1,Promising,4 — Nurture
Samarth Brar,138,1,111551.4,3,1,1,3-1-1,Promising,4 — Nurture
Samiha Buch,32,1,111379.5,3,1,1,3-1-1,Promising,4 — Nurture
Yakshit Bakshi,140,1,111324.8,3,1,1,3-1-1,Promising,4 — Nurture
Mamooty Hans,190,1,111292.5,3,1,1,3-1-1,Promising,4 — Nurture
Akarsh Shanker,213,1,111245.0,3,1,1,3-1-1,Promising,4 — Nurture
Kavya Mahal,145,1,111042.3,3,1,1,3-1-1,Promising,4 — Nurture
Shayak Bhattacharyya,176,1,110988.8,3,1,1,3-1-1,Promising,4 — Nurture
Kiara Hegde,166,1,110988.0,3,1,1,3-1-1,Promising,4 — Nurture
Shray Seth,10,1,110790.0,3,1,1,3-1-1,Promising,4 — Nurture
Misha Raman,34,1,110673.0,3,1,1,3-1-1,Promising,4 — Nurture
Navya Lad,201,1,110514.45,3,1,1,3-1-1,Promising,4 — Nurture
Kismat Rau,234,1,110425.5,3,1,1,3-1-1,Promising,4 — Nurture
Mahika Basu,176,1,110130.0,3,1,1,3-1-1,Promising,4 — Nurture
Kabir Ganesh,16,1,110049.9,3,1,1,3-1-1,Promising,4 — Nurture
Divyansh Arya,62,1,110040.0,3,1,1,3-1-1,Promising,4 — Nurture
Kartik Seth,51,1,109599.6,3,1,1,3-1-1,Promising,4 — Nurture
Ranbir Suresh,47,1,109580.0,3,1,1,3-1-1,Promising,4 — Nurture
Shamik Atwal,13,1,109481.7,3,1,1,3-1-1,Promising,4 — Nurture
Mehul Zacharia,150,1,109395.0,3,1,1,3-1-1,Promising,4 — Nurture
Neelofar Batta,8,1,109143.0,3,1,1,3-1-1,Promising,4 — Nurture
Madhup Sane,98,1,109078.8,3,1,1,3-1-1,Promising,4 — Nurture
Divij Raj,6,1,109074.6,3,1,1,3-1-1,Promising,4 — Nurture
Ritvik Suri,197,1,108990.0,3,1,1,3-1-1,Promising,4 — Nurture
Lakshit Jha,30,1,108345.0,3,1,1,3-1-1,Promising,4 — Nurture
Mehul Wable,15,1,108018.8,3,1,1,3-1-1,Promising,4 — Nurture
Madhav Halder,119,1,107718.0,3,1,1,3-1-1,Promising,4 — Nurture
Advik Kakar,237,1,107504.0,3,1,1,3-1-1,Promising,4 — Nurture
Mannat Sami,159,1,107486.4,3,1,1,3-1-1,Promising,4 — Nurture
Kavya Bhatnagar,37,1,107336.0,3,1,1,3-1-1,Promising,4 — Nurture
Mohanlal Dyal,124,1,107168.0,3,1,1,3-1-1,Promising,4 — Nurture
Madhup Sachar,74,1,107159.4,3,1,1,3-1-1,Promising,4 — Nurture
Biju Vig,43,1,107093.5,3,1,1,3-1-1,Promising,4 — Nurture
Sana Agarwal,201,1,106966.4,3,1,1,3-1-1,Promising,4 — Nurture
Seher Karan,4,1,106240.0,3,1,1,3-1-1,Promising,4 — Nurture
Vardaniya Mandal,68,1,105576.8,3,1,1,3-1-1,Promising,4 — Nurture
Manikya Kumer,74,1,105429.6,3,1,1,3-1-1,Promising,4 — Nurture
Shamik Zachariah,225,1,105320.0,3,1,1,3-1-1,Promising,4 — Nurture
Keya Sarna,117,1,105264.75,3,1,1,3-1-1,Promising,4 — Nurture
Yashvi Chopra,234,1,104994.0,3,1,1,3-1-1,Promising,4 — Nurture
Mohanlal Grover,4,1,104652.0,3,1,1,3-1-1,Promising,4 — Nurture
Dishani Tiwari,118,1,104616.0,3,1,1,3-1-1,Promising,4 — Nurture
Divij Thaman,173,1,104580.0,3,1,1,3-1-1,Promising,4 — Nurture
Inaaya  Walla,67,1,104535.0,3,1,1,3-1-1,Promising,4 — Nurture
Ritvik Sood,10,1,104508.0,3,1,1,3-1-1,Promising,4 — Nurture
Shalv Varughese,227,1,104490.0,3,1,1,3-1-1,Promising,4 — Nurture
Dhanush Kuruvilla,176,1,104356.2,3,1,1,3-1-1,Promising,4 — Nurture
Oorja Kota,57,1,104294.4,3,1,1,3-1-1,Promising,4 — Nurture
Gokul Doctor,3,1,104215.95,3,1,1,3-1-1,Promising,4 — Nurture
Riya Dey,55,1,103938.0,3,1,1,3-1-1,Promising,4 — Nurture
Raunak Loyal,41,1,103899.2,3,1,1,3-1-1,Promising,4 — Nurture
Mohanlal Sha,30,1,103770.0,3,1,1,3-1-1,Promising,4 — Nurture
Hansh Ghosh,238,1,103724.0,3,1,1,3-1-1,Promising,4 — Nurture
Ryan Banik,35,1,103652.6,3,1,1,3-1-1,Promising,4 — Nurture
Ranbir Khalsa,36,1,103464.0,3,1,1,3-1-1,Promising,4 — Nurture
Yasmin Saran,121,1,103440.0,3,1,1,3-1-1,Promising,4 — Nurture
Devansh Rao,173,1,103406.4,3,1,1,3-1-1,Promising,4 — Nurture
Prerak Butala,134,1,103392.0,3,1,1,3-1-1,Promising,4 — Nurture
Bhavin Krishnan,205,1,103364.0,3,1,1,3-1-1,Promising,4 — Nurture
Jhanvi Sem,173,1,102193.8,3,1,1,3-1-1,Promising,4 — Nurture
Heer Banik,0,1,102049.2,3,1,1,3-1-1,Promising,4 — Nurture
Ivana Bahri,55,1,102004.0,3,1,1,3-1-1,Promising,4 — Nurture
Anahi Rajagopalan,60,1,101510.4,3,1,1,3-1-1,Promising,4 — Nurture
Saksham Sodhi,26,1,100569.6,3,1,1,3-1-1,Promising,4 — Nurture
Ranbir Kant,230,1,100272.0,3,1,1,3-1-1,Promising,4 — Nurture
Khushi Sidhu,141,1,99913.6,3,1,1,3-1-1,Promising,4 — Nurture
Indranil Date,198,1,99910.8,3,1,1,3-1-1,Promising,4 — Nurture
Kartik Chandran,18,1,99368.0,3,1,1,3-1-1,Promising,4 — Nurture
Hunar Mand,209,1,99263.0,3,1,1,3-1-1,Promising,4 — Nurture
Advik Chatterjee,41,1,98892.0,3,1,1,3-1-1,Promising,4 — Nurture
Tejas Sidhu,15,1,98560.0,3,1,1,3-1-1,Promising,4 — Nurture
Aaryahi Issac,6,1,98286.0,3,1,1,3-1-1,Promising,4 — Nurture
Samiha Golla,80,1,98150.0,3,1,1,3-1-1,Promising,4 — Nurture
Trisha Bhargava,178,1,98009.6,3,1,1,3-1-1,Promising,4 — Nurture
Miraya Badami,50,1,97658.4,3,1,1,3-1-1,Promising,4 — Nurture
Hansh Varty,48,1,97600.5,3,1,1,3-1-1,Promising,4 — Nurture
Khushi Rana,45,1,97598.4,3,1,1,3-1-1,Promising,4 — Nurture
Shlok Thakkar,75,1,97131.0,3,1,1,3-1-1,Promising,4 — Nurture
Ira Dash,138,1,96476.4,3,1,1,3-1-1,Promising,4 — Nurture
Divij Varma,125,1,96417.0,3,1,1,3-1-1,Promising,4 — Nurture
Khushi Taneja,240,1,96330.0,3,1,1,3-1-1,Promising,4 — Nurture
Jiya Savant,61,1,96224.0,3,1,1,3-1-1,Promising,4 — Nurture
Lakshay Ramakrishnan,104,1,96224.0,3,1,1,3-1-1,Promising,4 — Nurture
Nitya Deo,169,1,96211.8,3,1,1,3-1-1,Promising,4 — Nurture
Renee Chander,218,1,96194.5,3,1,1,3-1-1,Promising,4 — Nurture
Hunar Toor,110,1,96135.0,3,1,1,3-1-1,Promising,4 — Nurture
Miraan Suresh,30,1,96084.9,3,1,1,3-1-1,Promising,4 — Nurture
Rania Vig,129,1,95872.5,3,1,1,3-1-1,Promising,4 — Nurture
Baiju Thakur,15,1,95448.2,3,1,1,3-1-1,Promising,4 — Nurture
Faiyaz Aggarwal,148,1,95412.5,3,1,1,3-1-1,Promising,4 — Nurture
Dhanuk Saraf,158,1,95157.0,3,1,1,3-1-1,Promising,4 — Nurture
Ryan Chana,15,1,95076.0,3,1,1,3-1-1,Promising,4 — Nurture
Tanya Sahota,113,1,95030.0,3,1,1,3-1-1,Promising,4 — Nurture
Anahi Aggarwal,232,1,94965.8,3,1,1,3-1-1,Promising,4 — Nurture
Miraya Tella,57,1,94951.8,3,1,1,3-1-1,Promising,4 — Nurture
Uthkarsh Kumer,107,1,94940.8,3,1,1,3-1-1,Promising,4 — Nurture
Shamik Badal,52,1,94771.05,3,1,1,3-1-1,Promising,4 — Nurture
Oorja Balakrishnan,211,1,94756.8,3,1,1,3-1-1,Promising,4 — Nurture
Anika Reddy,216,1,94528.8,3,1,1,3-1-1,Promising,4 — Nurture
Anika Chaudhry,12,1,94140.0,3,1,1,3-1-1,Promising,4 — Nurture
Onkar Dhar,194,1,93680.0,3,1,1,3-1-1,Promising,4 — Nurture
Zara Kakar,232,1,93594.0,3,1,1,3-1-1,Promising,4 — Nurture
Alisha Basak,228,1,93500.0,3,1,1,3-1-1,Promising,4 — Nurture
Vardaniya Verma,41,1,93286.65,3,1,1,3-1-1,Promising,4 — Nurture
Taimur Comar,201,1,93244.0,3,1,1,3-1-1,Promising,4 — Nurture
Aniruddh Magar,63,1,93230.4,3,1,1,3-1-1,Promising,4 — Nurture
Vardaniya Ramachandran,149,1,92796.0,3,1,1,3-1-1,Promising,4 — Nurture
Ritvik Sawhney,238,1,92607.5,3,1,1,3-1-1,Promising,4 — Nurture
Ranbir Shenoy,231,1,92329.2,3,1,1,3-1-1,Promising,4 — Nurture
Jivin Sridhar,118,1,92311.5,3,1,1,3-1-1,Promising,4 — Nurture
Miraya Trivedi,237,1,92229.25,3,1,1,3-1-1,Promising,4 — Nurture
Samarth Chad,179,1,91744.0,3,1,1,3-1-1,Promising,4 — Nurture
Manikya Halder,61,1,91133.5,3,1,1,3-1-1,Promising,4 — Nurture
Nirvaan Sehgal,64,1,90768.7,3,1,1,3-1-1,Promising,4 — Nurture
